points,pass_atts,pass_cmps,pass_yds,pass_tds,pass_ints,pass_2pts,rush_atts,rush_yds,rush_tds,rush_2pts,recs,rec_yds,rec_tds,rec_2pts,fumbles_lost,is_QB,is_RB,is_WR,is_TE,prev_points
109.00,141,77,"1,215",5,3,0,36,306,2,0,0,-2,0,0,2,1,0,0,0,45.00
178.00,503,305,"3,241",13,14,0,27,77,0,0,0,0,0,0,0,1,0,0,0,34.00
122.00,254,153,"1,807",11,9,0,18,57,1,0,0,0,0,0,1,1,0,0,0,27.00
117.00,253,137,"1,760",9,6,0,14,72,1,0,0,0,0,0,2,1,0,0,0,26.00
117.00,253,137,"1,760",9,6,0,14,72,1,0,0,0,0,0,2,1,0,0,0,26.00
104.00,267,141,"1,731",9,9,1,12,44,0,0,0,0,0,0,2,1,0,0,0,24.00
104.00,267,141,"1,731",9,9,1,12,44,0,0,0,0,0,0,2,1,0,0,0,24.00
2.00,12,7,130,0,1,0,2,-2,0,0,0,0,0,0,0,1,0,0,0,22.00
2.00,12,7,130,0,1,0,2,-2,0,0,0,0,0,0,0,1,0,0,0,22.00
2.00,12,7,130,0,1,0,2,-2,0,0,0,0,0,0,0,1,0,0,0,22.00
118.00,239,152,"1,648",7,9,0,34,151,4,0,0,0,0,0,4,1,0,0,0,11.00
118.00,239,152,"1,648",7,9,0,34,151,4,0,0,0,0,0,4,1,0,0,0,11.00
3.00,16,11,95,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,7.00
91.00,211,118,"1,547",8,8,0,11,27,0,0,0,0,0,0,1,1,0,0,0,7.00
12.00,86,42,481,1,7,0,9,32,0,0,0,0,0,0,0,1,0,0,0,7.00
18.00,38,25,248,1,1,0,14,52,0,0,0,0,0,0,0,1,0,0,0,7.00
18.00,38,25,248,1,1,0,14,52,0,0,0,0,0,0,0,1,0,0,0,7.00
7.00,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,1,0,0,0,2.00
7.00,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,1,0,0,0,2.00
7.00,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,1,0,0,0,2.00
11.00,31,16,156,1,1,0,5,37,0,0,0,0,0,0,1,1,0,0,0,1.00
131.00,317,180,"2,015",11,8,0,14,107,0,0,0,0,0,0,2,1,0,0,0,1.00
-1.00,22,15,113,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.00
3.00,5,1,2,0,1,0,8,64,0,0,1,6,0,0,0,1,0,0,0,0.00
3.00,5,1,2,0,1,0,8,64,0,0,1,6,0,0,0,1,0,0,0,0.00
-2.00,6,2,53,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00
17.00,13,10,151,1,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0.00
17.00,13,10,151,1,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0.00
99.00,242,142,"1,673",8,7,1,23,64,0,0,0,0,0,0,4,1,0,0,0,0.00
2.00,49,30,300,0,4,0,2,-2,0,0,0,0,0,0,1,1,0,0,0,0.00
88.00,200,124,"1,392",8,5,0,20,65,0,0,0,0,0,0,6,1,0,0,0,-2.00
118.00,358,219,"2,310",10,14,0,5,24,0,0,0,0,0,0,1,1,0,0,0,-3.00
278.00,448,262,"3,127",18,12,1,103,539,5,0,0,0,0,0,5,1,0,0,0,447.00
336.00,582,373,"4,109",33,9,0,36,57,0,0,0,0,0,0,3,1,0,0,0,410.00
